pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
ig	0.0025	0.0060	0.0203	0.0133
ih	0.0042	0.0099	0.0333	0.0219
ii	0.0003	0.0007	0.0024	0.0016
ij	0.0042	0.0099	0.0333	0.0219
ik	0.0057	0.0135	0.0452	0.0299
il	0.0057	0.0134	0.0450	0.0297
im	0.0065	0.0153	0.0510	0.0338
in	0.0065	0.0153	0.0510	0.0338
io	0.0040	0.0094	0.0317	0.0209
ip	0.0029	0.0069	0.0234	0.0154
iq	0.0022	0.0053	0.0180	0.0118
ir	0.0018	0.0041	0.0142	0.0093
is	0.0025	0.0060	0.0203	0.0133
it	0.0018	0.0041	0.0142	0.0093
iu	0.0029	0.0069	0.0234	0.0154
iv	0.0039	0.0093	0.0313	0.0206
iw	0.0018	0.0041	0.0142	0.0093
ix	0.0039	0.0093	0.0313	0.0206
iy	0.0029	0.0069	0.0234	0.0154
iz	0.0050	0.0117	0.0394	0.0260
i;	0.0042	0.0099	0.0333	0.0219
i,	0.0089	0.0209	0.0688	0.0459
i.	0.0089	0.0208	0.0685	0.0457
i/	0.0065	0.0153	0.0510	0.0338
ja	0.0032	0.0075	0.0256	0.0168
jb	0.0039	0.0093	0.0313	0.0206
jc	0.0039	0.0093	0.0313	0.0206
jd	0.0025	0.0060	0.0203	0.0133
je	0.0018	0.0041	0.0142	0.0093
jf	0.0025	0.0060	0.0203	0.0133
jg	0.0025	0.0060	0.0203	0.0133
jh	0.0064	0.0150	0.0500	0.0331
ji	0.0029	0.0069	0.0234	0.0154
jj	0.0004	0.0010	0.0035	0.0023
jk	0.0042	0.0099	0.0333	0.0219
jl	0.0042	0.0099	0.0333	0.0219
jm	0.0089	0.0209	0.0688	0.0459
jn	0.0099	0.0232	0.0759	0.0508
jo	0.0029	0.0069	0.0234	0.0154
jp	0.0029	0.0069	0.0234	0.0154
jq	0.0022	0.0053	0.0180	0.0118
jr	0.0018	0.0041	0.0142	0.0093
js	0.0025	0.0060	0.0203	0.0133
jt	0.0018	0.0041	0.0142	0.0093
ju	0.0040	0.0094	0.0319	0.0210
jv	0.0039	0.0093	0.0313	0.0206
jw	0.0018	0.0041	0.0142	0.0093
jx	0.0039	0.0093	0.0313	0.0206
jy	0.0045	0.0105	0.0353	0.0233
jz	0.0050	0.0117	0.0394	0.0260
j;	0.0042	0.0099	0.0333	0.0219
j,	0.0065	0.0153	0.0510	0.0338
j.	0.0065	0.0153	0.0510	0.0338
j/	0.0065	0.0153	0.0510	0.0338
ka	0.0032	0.0075	0.0256	0.0168
kb	0.0039	0.0093	0.0313	0.0206
kc	0.0039	0.0093	0.0313	0.0206
kd	0.0025	0.0060	0.0203	0.0133
ke	0.0018	0.0041	0.0142	0.0093
kf	0.0025	0.0060	0.0203	0.0133
kg	0.0025	0.0060	0.0203	0.0133
kh	0.0042	0.0099	0.0333	0.0219
ki	0.0040	0.0094	0.0319	0.0210
kj	0.0042	0.0099	0.0333	0.0219
kk	0.0004	0.0010	0.0035	0.0023
kl	0.0057	0.0134	0.0450	0.0297
km	0.0065	0.0153	0.0510	0.0338
kn	0.0065	0.0153	0.0510	0.0338
ko	0.0040	0.0094	0.0317	0.0209
kp	0.0029	0.0069	0.0234	0.0154
kq	0.0022	0.0053	0.0180	0.0118
kr	0.0018	0.0041	0.0142	0.0093
ks	0.0025	0.0060	0.0203	0.0133
kt	0.0018	0.0041	0.0142	0.0093
ku	0.0029	0.0069	0.0234	0.0154
kv	0.0039	0.0093	0.0313	0.0206
kw	0.0018	0.0041	0.0142	0.0093
kx	0.0039	0.0093	0.0313	0.0206
ky	0.0029	0.0069	0.0234	0.0154
kz	0.0050	0.0117	0.0394	0.0260
k;	0.0042	0.0099	0.0333	0.0219
k,	0.0089	0.0209	0.0688	0.0459
k.	0.0089	0.0208	0.0685	0.0457
k/	0.0065	0.0153	0.0510	0.0338
la	0.0032	0.0075	0.0256	0.0168
lb	0.0039	0.0093	0.0313	0.0206
lc	0.0039	0.0093	0.0313	0.0206
ld	0.0025	0.0060	0.0203	0.0133
le	0.0018	0.0041	0.0142	0.0093
lf	0.0025	0.0060	0.0203	0.0133
lg	0.0025	0.0060	0.0203	0.0133
lh	0.0042	0.0099	0.0333	0.0219
li	0.0040	0.0094	0.0317	0.0209
lj	0.0042	0.0099	0.0333	0.0219
lk	0.0057	0.0134	0.0450	0.0297
ll	0.0004	0.0010	0.0035	0.0023
lm	0.0065	0.0153	0.0510	0.0338
ln	0.0065	0.0153	0.0510	0.0338
lo	0.0040	0.0094	0.0319	0.0210
lp	0.0049	0.0115	0.0387	0.0255
lq	0.0022	0.0053	0.0180	0.0118
lr	0.0018	0.0041	0.0142	0.0093
ls	0.0025	0.0060	0.0203	0.0133
lt	0.0018	0.0041	0.0142	0.0093
lu	0.0029	0.0069	0.0234	0.0154
lv	0.0039	0.0093	0.0313	0.0206
lw	0.0018	0.0041	0.0142	0.0093
lx	0.0039	0.0093	0.0313	0.0206
ly	0.0029	0.0069	0.0234	0.0154
lz	0.0050	0.0117	0.0394	0.0260
l;	0.0070	0.0165	0.0547	0.0363
l,	0.0089	0.0208	0.0685	0.0457
l.	0.0089	0.0209	0.0688	0.0459
l/	0.0109	0.0255	0.0828	0.0555
ma	0.0032	0.0075	0.0256	0.0168
mb	0.0039	0.0093	0.0313	0.0206
mc	0.0039	0.0093	0.0313	0.0206
md	0.0025	0.0060	0.0203	0.0133
